id	Date	sex	status	avail	hold	dam	sire	origin	birth	death	arrivedate	arrivetime	departdate	departtime	room	cage	cond	weight	wdate	wtime	tbdate	medical	purchasedby	v_status
r08034	2008-07-20	m	alive	ab		r95082	r95046	cen	2008-07-20						ab112	0005	g	2.4200	2009-07-22	1970-01-01 09:15:00	2009-07-07			SPF
r08033	2008-07-14	f	alive	ab		r96130	r02075	cen	2008-07-14						c435	pen1	g	2.5000	2009-07-01	1970-01-01 08:45:00	2009-07-01			SPF
r08032	2008-07-10	m	alive	ab		r00008	r01042	cen	2008-07-10						ab167	0011	am	2.1000	2009-07-16	1970-01-01 09:30:00	2009-07-16			SPF
r08031	2008-07-07	m	alive	u		r00008	r01042	cen	2008-07-07						cb11	0056	p	2.6400	2009-07-13	1970-01-01 09:00:00	2009-07-13			Conventional
cj1582	2008-07-06	f	d-othr	u		cj0950	cj1157	cen	2008-07-06	2008-07-09					a140	0014	gmf	0.0189	2008-07-09					
cj1583	2008-07-06	m	alive	u		cj0950	cj1157	cen	2008-07-06						a163a	0005	gmf	0.3330	2009-06-12	1970-01-01 09:00:00				
cj1581	2008-07-06	f	d-othr	u		cj0950	cj1157	cen	2008-07-06	2008-07-08					a140	0014	gmf							
r08030	2008-07-06	m	alive	ab		rh2013	r96018	cen	2008-07-06						ab112	0005	g	2.2000	2009-07-22	1970-01-01 09:15:00	2009-07-07			
cj1584	2008-07-06	m	alive	u		cj0950	cj1157	cen	2008-07-06						a163a	0005	gmf	0.2800	2009-06-12	1970-01-01 09:00:00				
r08029	2008-07-02	m	alive	ab		rh2135	r95092	cen	2008-07-02						mr1557	0003	p	2.4100	2009-07-21	1970-01-01 11:00:00	2009-07-02			SPF
r08028	2008-06-30	f	alive	ab		r97093	r02075	cen	2008-06-30						mr1557	0001	p	2.2800	2009-07-21	1970-01-01 11:00:00	2009-07-02			SPF
r08026	2008-06-28	f	alive	ab		rhav88	rh2085	cen	2008-06-28						ab112	0003	p	2.2300	2009-06-29	1970-01-01 09:50:00	2009-01-13			
r08027	2008-06-28	m	alive	ab		r97063	rh2142	cen	2008-06-28						mr1557	0003	p	2.5800	2009-07-21	1970-01-01 11:00:00	2009-07-02			SPF
r08025	2008-06-27	f	alive	ab		r03004	r01042	cen	2008-06-27						ab112	0005	g	2.2000	2009-07-22	1970-01-01 09:15:00	2009-07-15			SPF
r08024	2008-06-26	m	alive	ab		rh1981	r02075	cen	2008-06-26						ab112	0009	p	2.9300	2009-06-29	1970-01-01 09:50:00	2009-01-13			
r08022	2008-06-25	f	alive	ar		rh2005	r01037	cen	2008-06-25						c327	0005	p	2.2800	2009-07-24	1970-01-01 11:10:00	2009-07-06	cranial implant		
